"","kingdom","phylum","class","order","family","genus"
"Otu0295","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0297","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014"
"Otu0298","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0299","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0301","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoclostridium"
"Otu0304","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0308","Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Erysipelotrichaceae_unclassified"
"Otu0309","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0312","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0313","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014"
"Otu0318","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0322","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0325","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0330","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0331","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0340","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0341","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus"
"Otu0343","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0345","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_UCG-006"
"Otu0355","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus"
"Otu0356","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-014"
"Otu0357","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
"Otu0358","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Bacteroidales_S24-7_group","Bacteroidales_S24-7_group_ge"
"Otu0361","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_unclassified"
"Otu0371","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiraceae_unclassified"
